,RegionName,ProcessName,Timeslice,electricity,gas,hspace,hwater,CO2f,wind
0,R1,gasboiler,1,0,0,257,105,0,0
1,R1,gasboiler,2,0,0,154,63,0,0
2,R1,gasboiler,3,0,0,64,26,0,0
3,R1,gasboiler,4,0,0,77,32,0,0
4,R1,gasboiler,5,0,0,77,32,0,0
5,R1,gasboiler,6,0,0,77,32,0,0
6,R2,gasboiler,1,0,0,9,100,0,0
7,R2,gasboiler,2,0,0,5,60,0,0
8,R2,gasboiler,3,0,0,2,25,0,0
9,R2,gasboiler,4,0,0,3,30,0,0
10,R2,gasboiler,5,0,0,3,30,0,0
11,R2,gasboiler,6,0,0,3,30,0,0
12,R3,gasboiler,1,0,0,1943,694,0,0
13,R3,gasboiler,2,0,0,1166,417,0,0
14,R3,gasboiler,3,0,0,486,174,0,0
15,R3,gasboiler,4,0,0,583,208,0,0
16,R3,gasboiler,5,0,0,583,208,0,0
17,R3,gasboiler,6,0,0,583,208,0,0
